time_s,AorticArchII,ThoracicAortaII,LSubclavianI,RIliacFemoralII,LUlnar,RAnteriorTibial,RUlnar,Splenic
1.36000000e-01,1.53323168e+02,4.46205876e+01,8.01603004e+00,8.07728784e-12,-1.00323071e-01,-5.22004377e-02,-1.00894246e-01,-8.41730808e-02
1.37000000e-01,1.54080550e+02,4.66689955e+01,8.15471529e+00,3.68000434e-10,-1.00367392e-01,-5.29187453e-02,-1.00911890e-01,-8.57080270e-02
1.38000000e-01,1.54825587e+02,4.85978316e+01,8.29456300e+00,-3.22109113e-11,-1.00364930e-01,-5.35563350e-02,-1.00932440e-01,-8.92434889e-02
1.39000000e-01,1.55552903e+02,5.03966907e+01,8.43919256e+00,-8.86572379e-10,-1.00308458e-01,-5.36120716e-02,-1.00946530e-01,-9.45033775e-02
1.40000000e-01,1.56265322e+02,5.20669822e+01,8.59118175e+00,2.30622272e-11,-1.00161641e-01,-5.33252343e-02,-1.00950431e-01,-9.98299347e-02
1.41000000e-01,1.56973964e+02,5.36231242e+01,8.75153493e+00,2.12506263e-09,-9.96086653e-02,-5.31261472e-02,-1.00963641e-01,-1.03326531e-01
1.42000000e-01,1.57685663e+02,5.50817589e+01,8.91996969e+00,2.99224042e-10,-9.78963003e-02,-5.31370783e-02,-1.01011645e-01,-1.04496872e-01
1.43000000e-01,1.58389752e+02,5.64578250e+01,9.09567091e+00,-4.96710238e-09,-9.42646181e-02,-5.32125589e-02,-1.01078367e-01,-1.04635516e-01
1.44000000e-01,1.59066182e+02,5.77776836e+01,9.27788466e+00,-2.03079118e-09,-8.88818558e-02,-5.32259043e-02,-1.01102515e-01,-1.05517282e-01
1.45000000e-01,1.59709921e+02,5.90884884e+01,9.46603337e+00,1.10591002e-08,-8.33239403e-02,-5.31861497e-02,-1.01082852e-01,-1.07752003e-01
1.46000000e-01,1.60336866e+02,6.04401243e+01,9.65950049e+00,8.85710876e-09,-7.97321549e-02,-5.31509569e-02,-1.01222679e-01,-1.10439724e-01
1.47000000e-01,1.60957212e+02,6.18471448e+01,9.85744877e+00,-2.20198760e-08,-7.91707358e-02,-5.31380630e-02,-1.01919955e-01,-1.12244519e-01
1.48000000e-01,1.61553955e+02,6.32643227e+01,1.00588668e+01,-3.10449904e-08,-8.07910628e-02,-5.31308061e-02,-1.03505212e-01,-1.12596849e-01
1.49000000e-01,1.62099135e+02,6.46128241e+01,1.02627601e+01,3.47997345e-08,-8.26642045e-02,-5.31169892e-02,-1.05892301e-01,-1.11965364e-01
1.50000000e-01,1.62585183e+02,6.58574239e+01,1.04682726e+01,9.18429639e-08,-8.34205695e-02,-5.30992257e-02,-1.08474013e-01,-1.11238445e-01
1.51000000e-01,1.63029951e+02,6.70548241e+01,1.06746315e+01,-2.17796956e-08,-8.30779786e-02,-5.30826417e-02,-1.10437346e-01,-1.10980711e-01
1.52000000e-01,1.63455147e+02,6.82930117e+01,1.08809844e+01,-2.25722286e-07,-8.25360428e-02,-5.30676525e-02,-1.11273470e-01,-1.11184900e-01
1.53000000e-01,1.63867543e+02,6.95906409e+01,1.10863108e+01,-1.16904822e-07,-8.26482052e-02,-5.30525911e-02,-1.11076560e-01,-1.11521352e-01
1.54000000e-01,1.64258146e+02,7.09087033e+01,1.12894804e+01,4.23056068e-07,-8.38044043e-02,-5.30369415e-02,-1.10400143e-01,-1.11722782e-01
1.55000000e-01,1.64613137e+02,7.22560110e+01,1.14893908e+01,6.24841521e-07,-8.60136037e-02,-5.30211401e-02,-1.09824165e-01,-1.11761081e-01
1.56000000e-01,1.64922742e+02,7.37003270e+01,1.16850332e+01,-3.99069972e-07,-8.89633985e-02,-5.30054431e-02,-1.09609843e-01,-1.11754318e-01
1.57000000e-01,1.65183384e+02,7.52604619e+01,1.18754520e+01,-1.80629940e-06,-9.19562408e-02,-5.29897683e-02,-1.09654101e-01,-1.11791879e-01
1.58000000e-01,1.65403024e+02,7.68693899e+01,1.20596282e+01,-9.27279972e-07,-9.40898753e-02,-5.29740232e-02,-1.09670050e-01,-1.11872901e-01
