time_s,AorticArchI,ThoAortaIII,AbdomAortaV,RightCCA,RightRenal,RightCommonIliac,RightICA,RightRadial,RightInternalIliac,RightPostInteross,RightFemoralII,RightAntTibial
8.50000000e-02,3.72949358e+02,1.10771475e+02,1.90664628e+01,1.55975960e+01,7.06287632e+00,8.24795307e+00,4.76556338e+00,1.20163837e+00,4.23737206e+00,1.75150244e-01,1.43441204e+00,3.99749909e-01
8.60000000e-02,3.80125904e+02,1.15634741e+02,1.89960997e+01,1.61663356e+01,7.04430404e+00,8.47634243e+00,4.87368974e+00,1.28688057e+00,4.29883023e+00,1.82197176e-01,1.39884395e+00,4.01645683e-01
8.70000000e-02,3.86845595e+02,1.20374020e+02,1.87403835e+01,1.67232015e+01,7.11047472e+00,8.77696952e+00,5.06397663e+00,1.42576591e+00,4.34529279e+00,1.78034140e-01,1.35728350e+00,4.02998685e-01
8.80000000e-02,3.94026816e+02,1.25059390e+02,1.85883551e+01,1.72698694e+01,7.25387400e+00,9.35042618e+00,5.34906843e+00,1.57088820e+00,4.41047953e+00,1.75628530e-01,1.31047022e+00,4.03991477e-01
8.90000000e-02,4.00942140e+02,1.29907873e+02,1.84244200e+01,1.78382263e+01,7.39129047e+00,9.78547746e+00,5.57957522e+00,1.67680667e+00,4.56148671e+00,1.85099810e-01,1.25256670e+00,4.04998824e-01
9.00000000e-02,4.06703880e+02,1.34501712e+02,1.81440101e+01,1.84412527e+01,7.47988743e+00,9.83294512e+00,5.58971323e+00,1.73478530e+00,4.73670516e+00,2.04854250e-01,1.17677078e+00,4.06465390e-01
9.10000000e-02,4.12062913e+02,1.39206128e+02,1.81151905e+01,1.89536607e+01,7.56940812e+00,9.84356949e+00,5.47967276e+00,1.76830843e+00,4.82650578e+00,2.24858327e-01,1.08463336e+00,4.08749731e-01
9.20000000e-02,4.18088403e+02,1.44560403e+02,1.83131340e+01,1.93293386e+01,7.70665024e+00,9.93851703e+00,5.47207396e+00,1.80421596e+00,4.84107801e+00,2.38256199e-01,9.90001240e-01,4.11999777e-01
9.30000000e-02,4.24926620e+02,1.49974050e+02,1.79645317e+01,1.97695833e+01,7.85564635e+00,9.89125987e+00,5.60682581e+00,1.84681826e+00,4.82029747e+00,2.45610797e-01,9.12450605e-01,4.16115438e-01
9.40000000e-02,4.32092592e+02,1.55000225e+02,1.69824770e+01,2.04404294e+01,7.97037248e+00,9.64598980e+00,5.80057903e+00,1.87567776e+00,4.73858072e+00,2.49732547e-01,8.64452514e-01,4.20819271e-01
